GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US110010021014,110010021014,"Block Group 4, Census Tract 21.01, District of Columbia, District of Columbia",337,96,37,29,27,43,15,24,19,32,40,49,0,12,14,23,0,12,60,61,42,67,0,12,33,40,25,29,8,14,0,12,17,26
1500000US110010021015,110010021015,"Block Group 5, Census Tract 21.01, District of Columbia, District of Columbia",280,104,29,48,0,12,31,49,59,52,9,15,15,23,0,12,0,12,0,12,0,12,26,31,35,27,16,25,33,51,9,17,18,30
1500000US110010021021,110010021021,"Block Group 1, Census Tract 21.02, District of Columbia, District of Columbia",344,87,3,5,0,12,41,50,15,16,0,12,7,12,54,60,0,12,15,16,15,16,50,32,33,28,0,12,29,25,62,55,20,19
1500000US110010021022,110010021022,"Block Group 2, Census Tract 21.02, District of Columbia, District of Columbia",359,94,99,73,16,17,0,12,0,12,23,20,67,64,15,17,7,12,0,12,58,50,20,22,16,17,18,18,7,11,13,14,0,12
1500000US110010021023,110010021023,"Block Group 3, Census Tract 21.02, District of Columbia, District of Columbia",471,105,74,59,0,12,31,49,0,12,0,12,30,48,9,13,15,17,0,12,25,40,60,57,33,42,100,77,38,51,23,21,33,45
1500000US110010021024,110010021024,"Block Group 4, Census Tract 21.02, District of Columbia, District of Columbia",290,84,41,36,19,20,8,12,9,14,28,45,34,52,0,12,16,19,6,10,27,42,14,10,16,18,27,44,22,20,7,10,16,17
1500000US110010021025,110010021025,"Block Group 5, Census Tract 21.02, District of Columbia, District of Columbia",329,103,41,60,8,13,0,12,14,17,30,48,0,12,40,50,53,49,0,12,0,12,41,44,27,25,46,55,7,10,14,11,8,12
1500000US110010021026,110010021026,"Block Group 6, Census Tract 21.02, District of Columbia, District of Columbia",262,107,72,70,8,12,15,18,0,12,33,43,0,12,0,12,6,10,0,12,8,12,15,17,18,21,10,15,31,39,46,50,0,12
1500000US110010022011,110010022011,"Block Group 1, Census Tract 22.01, District of Columbia, District of Columbia",402,89,10,15,6,8,0,12,21,20,0,12,0,12,15,16,0,12,21,23,20,24,79,61,44,41,59,54,65,44,38,39,24,28
1500000US110010022012,110010022012,"Block Group 2, Census Tract 22.01, District of Columbia, District of Columbia",464,79,8,12,0,12,11,17,15,12,26,31,0,12,15,17,16,17,31,27,25,26,127,74,29,35,33,35,53,47,43,35,32,35
1500000US110010022013,110010022013,"Block Group 3, Census Tract 22.01, District of Columbia, District of Columbia",253,73,53,52,8,12,6,10,0,12,6,9,20,24,21,23,22,31,7,11,0,12,54,59,19,18,10,15,9,14,9,15,9,15
1500000US110010022021,110010022021,"Block Group 1, Census Tract 22.02, District of Columbia, District of Columbia",687,108,77,60,43,39,52,40,0,12,56,58,41,43,36,38,39,43,71,61,29,47,49,46,56,56,77,50,11,13,4,11,46,50
1500000US110010022022,110010022022,"Block Group 2, Census Tract 22.02, District of Columbia, District of Columbia",310,78,61,42,19,22,21,28,22,34,16,18,0,12,0,12,7,13,0,12,21,28,22,25,14,15,46,33,21,30,8,12,32,42
1500000US110010022023,110010022023,"Block Group 3, Census Tract 22.02, District of Columbia, District of Columbia",325,83,46,43,45,49,0,12,0,12,0,12,0,12,0,12,0,12,10,12,20,31,52,41,24,32,39,39,33,29,23,25,33,33
1500000US110010023011,110010023011,"Block Group 1, Census Tract 23.01, District of Columbia, District of Columbia",405,69,21,30,11,13,0,12,10,13,25,31,10,13,5,7,21,21,0,12,20,21,74,57,30,24,43,26,27,22,32,24,76,49
1500000US110010023012,110010023012,"Block Group 2, Census Tract 23.01, District of Columbia, District of Columbia",683,88,53,40,17,19,15,18,25,26,0,12,37,39,29,24,44,36,52,43,62,61,29,25,45,33,85,52,23,20,87,50,80,50
1500000US110010023021,110010023021,"Block Group 1, Census Tract 23.02, District of Columbia, District of Columbia",879,102,154,80,37,44,38,46,37,43,4,7,27,21,0,12,49,58,20,32,63,65,142,80,185,56,51,31,29,21,33,34,10,12
1500000US110010024001,110010024001,"Block Group 1, Census Tract 24, District of Columbia, District of Columbia",282,73,0,12,8,12,0,12,34,40,28,34,0,12,11,17,12,21,28,26,34,33,0,12,19,29,29,26,28,26,22,21,29,23
1500000US110010024002,110010024002,"Block Group 2, Census Tract 24, District of Columbia, District of Columbia",428,72,32,37,0,12,38,41,11,17,23,24,39,38,0,12,34,51,20,32,10,15,22,24,48,35,44,38,39,29,32,27,36,26
1500000US110010024003,110010024003,"Block Group 3, Census Tract 24, District of Columbia, District of Columbia",299,73,58,63,0,12,0,12,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,63,49,18,30,50,30,34,32,65,45
1500000US110010024004,110010024004,"Block Group 4, Census Tract 24, District of Columbia, District of Columbia",331,56,8,13,0,12,0,12,0,12,10,14,18,27,34,29,0,12,15,17,29,28,24,25,14,17,49,32,40,33,53,35,37,26
1500000US110010025011,110010025011,"Block Group 1, Census Tract 25.01, District of Columbia, District of Columbia",509,81,159,88,44,28,62,51,54,52,24,23,25,27,29,26,0,12,0,12,0,12,26,31,10,16,50,49,20,23,6,11,0,12
1500000US110010025012,110010025012,"Block Group 2, Census Tract 25.01, District of Columbia, District of Columbia",489,76,10,16,66,61,0,12,8,13,34,29,0,12,11,17,11,17,22,24,39,38,0,12,60,41,20,22,22,25,21,23,165,47
1500000US110010025021,110010025021,"Block Group 1, Census Tract 25.02, District of Columbia, District of Columbia",523,124,124,88,45,47,24,38,0,12,6,11,13,23,0,12,82,54,7,14,15,25,13,20,85,82,32,51,0,12,13,24,64,50
1500000US110010025022,110010025022,"Block Group 2, Census Tract 25.02, District of Columbia, District of Columbia",561,128,0,12,38,51,0,12,20,23,55,46,105,75,19,21,5,9,16,25,0,12,64,49,80,63,60,62,29,35,70,65,0,12
1500000US110010025023,110010025023,"Block Group 3, Census Tract 25.02, District of Columbia, District of Columbia",461,117,15,21,9,15,20,21,0,12,49,67,47,54,0,12,0,12,6,12,5,8,33,41,75,78,0,12,125,96,18,22,59,38
1500000US110010025024,110010025024,"Block Group 4, Census Tract 25.02, District of Columbia, District of Columbia",802,170,23,18,27,33,46,60,54,66,44,51,65,73,0,12,11,19,53,86,0,12,196,137,69,74,83,71,14,23,52,44,65,54
1500000US110010026001,110010026001,"Block Group 1, Census Tract 26, District of Columbia, District of Columbia",476,58,16,15,0,12,3,6,17,21,5,8,0,12,6,10,27,31,14,12,46,42,15,16,27,17,71,39,37,24,86,41,106,50
1500000US110010026002,110010026002,"Block Group 2, Census Tract 26, District of Columbia, District of Columbia",524,65,0,12,0,12,0,12,43,54,31,35,12,16,6,8,7,12,12,10,31,32,32,20,17,15,44,26,26,18,67,40,196,49
1500000US110010027011,110010027011,"Block Group 1, Census Tract 27.01, District of Columbia, District of Columbia",433,155,10,17,0,12,0,12,83,106,0,12,0,12,0,12,0,12,0,12,19,32,71,96,79,87,33,39,45,43,31,35,62,50
1500000US110010027012,110010027012,"Block Group 2, Census Tract 27.01, District of Columbia, District of Columbia",816,129,0,12,0,12,0,12,0,12,35,34,14,24,59,60,60,67,25,31,51,50,92,56,70,49,125,72,21,25,107,92,157,69
1500000US110010027013,110010027013,"Block Group 3, Census Tract 27.01, District of Columbia, District of Columbia",339,67,11,19,0,12,0,12,16,27,0,12,13,22,0,12,0,12,0,12,55,48,0,12,9,15,11,19,31,37,78,60,115,62
1500000US110010027014,110010027014,"Block Group 4, Census Tract 27.01, District of Columbia, District of Columbia",1043,172,170,117,49,52,45,43,98,92,22,28,55,52,110,88,37,37,45,73,124,97,45,38,81,51,78,57,19,30,65,69,0,12
1500000US110010027021,110010027021,"Block Group 1, Census Tract 27.02, District of Columbia, District of Columbia",881,152,11,18,17,26,46,73,0,12,78,80,24,30,87,95,24,22,11,17,50,48,159,98,121,87,141,89,79,98,0,12,33,36
1500000US110010027022,110010027022,"Block Group 2, Census Tract 27.02, District of Columbia, District of Columbia",862,138,49,53,16,25,56,51,18,28,0,12,0,12,28,46,0,12,0,12,0,12,139,69,55,44,31,33,75,63,134,69,261,96
1500000US110010027023,110010027023,"Block Group 3, Census Tract 27.02, District of Columbia, District of Columbia",537,93,31,37,0,12,18,28,11,18,0,12,19,30,0,12,12,19,0,12,15,24,97,63,105,75,34,33,23,27,72,54,100,62
1500000US110010028011,110010028011,"Block Group 1, Census Tract 28.01, District of Columbia, District of Columbia",616,121,87,62,8,14,8,15,0,12,17,19,46,56,0,12,22,35,33,42,41,30,42,48,184,86,75,49,12,14,15,14,26,21
1500000US110010028012,110010028012,"Block Group 2, Census Tract 28.01, District of Columbia, District of Columbia",1169,127,105,59,79,69,115,93,87,79,48,63,52,49,68,65,33,43,120,64,201,112,88,66,75,66,43,34,18,20,11,15,26,22
1500000US110010028021,110010028021,"Block Group 1, Census Tract 28.02, District of Columbia, District of Columbia",1236,133,139,72,46,35,72,55,80,67,10,15,11,17,50,42,79,61,51,38,93,61,94,61,148,61,134,74,113,65,82,47,34,27
1500000US110010028022,110010028022,"Block Group 2, Census Tract 28.02, District of Columbia, District of Columbia",791,112,105,50,8,13,45,38,49,40,52,49,38,37,26,42,34,38,28,25,97,54,61,38,106,64,22,24,86,47,11,17,23,29
1500000US110010029001,110010029001,"Block Group 1, Census Tract 29, District of Columbia, District of Columbia",805,95,37,38,21,23,0,12,60,44,63,50,27,38,21,23,28,34,30,27,49,44,67,36,143,79,46,43,75,37,41,28,97,47
1500000US110010029002,110010029002,"Block Group 2, Census Tract 29, District of Columbia, District of Columbia",835,88,25,40,9,14,7,11,46,45,0,12,0,12,23,24,21,18,20,22,48,40,137,64,119,67,58,38,73,44,105,47,144,50
1500000US110010030001,110010030001,"Block Group 1, Census Tract 30, District of Columbia, District of Columbia",784,91,96,55,40,27,21,19,16,26,7,11,0,12,8,14,32,32,8,13,21,24,116,56,97,49,58,39,79,44,88,44,97,53
1500000US110010030002,110010030002,"Block Group 2, Census Tract 30, District of Columbia, District of Columbia",703,87,154,60,86,65,0,12,61,35,27,30,0,12,44,43,7,11,28,30,26,24,9,14,58,35,45,38,25,23,43,33,90,45
1500000US110010031001,110010031001,"Block Group 1, Census Tract 31, District of Columbia, District of Columbia",1082,90,11,17,51,42,28,30,88,68,29,30,30,31,24,40,35,34,24,29,117,65,113,69,191,87,78,43,88,44,110,75,65,52
